Year,Month,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC,Revenue,Conversions,Conv. rate
2021,21-Jan,USD,14704.12,"35,298","362,238",9.74%,0.42,161608.75,"1,455.45",4.12%
2021,21-Feb,USD,14417.37,"31,320","266,177",11.77%,0.46,136573.01,"1,301.83",4.16%
2021,21-Mar,USD,17015.18,"36,694","359,623",10.20%,0.46,175560.12,"1,634.24",4.45%
2021,21-Apr,USD,20799.6,"42,823","389,425",11.00%,0.49,204475.32,"1,827.76",4.27%
2021,21-May,USD,15546.6,"30,229","328,758",9.19%,0.51,162003.5,"1,415.83",4.68%
2021,21-Jun,USD,17890.07,"42,198","357,839",11.79%,0.42,199008.02,"1,643.40",3.89%
2021,21-Jul,USD,21247.44,"57,338","442,220",12.97%,0.37,307275.57,"2,132.63",3.72%
2021,21-Aug,USD,24122.15,"60,731","490,402",12.38%,0.4,316354.11,"2,182.71",3.59%
2021,21-Sep,USD,25373.93,"61,548","564,992",10.89%,0.41,361900.72,"2,420.25",3.93%
2021,21-Oct,USD,27043.32,"62,443","436,358",14.31%,0.43,328663.68,"2,361.72",3.78%
2021,21-Nov,USD,31352.82,"66,781","471,638",14.16%,0.47,369274.15,"2,690.32",4.03%
2021,21-Dec,USD,36009.7,"69,060","470,121",14.69%,0.52,395744.74,"2,841.21",4.11%
2022,22-Jan,USD,35615.68,"73,254","514,042",14.25%,0.49,353413.75,"2,599.60",3.55%
2022,22-Feb,USD,34002.76,"66,257","485,430",13.65%,0.51,320456.74,"2,188.92",3.30%
2022,22-Mar,USD,46514.65,"87,248","598,060",14.59%,0.53,427529.86,"2,904.33",3.33%
2022,22-Apr,USD,41303.78,"79,052","559,841",14.12%,0.52,385232.38,"2,595.13",3.28%
2022,22-May,USD,37572.79,"76,280","642,775",11.87%,0.49,400335.38,"2,536.38",3.33%
2022,22-Jun,USD,38169.74,"75,619","573,131",13.19%,0.5,397559.2,"2,686.85",3.55%
2022,22-Jul,USD,40833.5,"85,330","640,709",13.32%,0.48,437628.82,"2,917.08",3.42%
2022,22-Aug,USD,39719.02,"95,272","1,456,093",6.54%,0.42,517369.65,"3,122.84",3.28%
2022,22-Sep,USD,40413.15,"103,542","2,588,390",4.00%,0.39,497083.59,"3,289.21",3.18%
2022,22-Oct,USD,44322.15,"102,938","1,862,954",5.53%,0.43,517751.54,"3,486.64",3.39%
2022,22-Nov,USD,68230.79,"120,598","3,358,769",3.59%,0.57,650505.81,"4,136.72",3.43%
2022,22-Dec,USD,59228.11,"112,465","2,993,246",3.76%,0.53,521738.34,"3,485.83",3.10%
2023,23-Jan,USD,71178.08,"137,258","4,638,419",2.96%,0.52,548100.04,"3,577.81",2.61%
2023,23-Feb,USD,56597.93,"122,597","3,589,805",3.42%,0.46,523718.32,"3,352.93",2.73%
2023,23-Mar,USD,72658.04,"137,723","5,325,996",2.59%,0.53,600050.8,"3,895.31",2.83%
2023,23-Apr,USD,75598.62,"132,785","5,275,014",2.52%,0.57,568554.08,"3,588.87",2.70%
2023,23-May,USD,65085.29,"114,894","4,345,887",2.64%,0.57,525069.38,"3,132.84",2.73%
2023,23-Jun,USD,54678.87,"102,061","2,966,699",3.44%,0.54,504295.01,"3,175.88",3.11%
2023,23-Jul,USD,53137.71,"109,405","2,777,110",3.94%,0.49,553108.09,"3,415.59",3.12%
2023,23-Aug,USD,78476.27,"131,650","3,506,780",3.75%,0.6,627827.54,"4,114.87",3.13%
2023,23-Sep,USD,74761.25,"120,590","3,237,274",3.73%,0.62,560082.4,"3,863.50",3.20%
2023,23-Oct,USD,76249.58,"148,329","3,366,519",4.41%,0.51,652851.37,"4,646.53",3.13%
2023,23-Nov,USD,89591.67,"163,940","4,403,938",3.72%,0.55,860796.68,"5,422.69",3.31%
2023,23-Dec,USD,71986.45,"149,076","4,413,276",3.38%,0.48,771881.65,"4,912.76",3.30%
2024,24-Jan,USD,72640.95,"161,879","4,223,322",3.83%,0.45,874548.84,"5,525.41",3.41%
2024,24-Feb,USD,69539.16,"164,170","3,741,858",4.39%,0.42,843118.45,"5,171.61",3.15%
2024,24-Mar,USD,70999.64,"153,223","3,211,886",4.77%,0.46,838384.47,"4,980.13",3.25%
2024,24-Apr,USD,66141.17,"135,359","3,584,601",3.78%,0.49,749154.96,"6,324.88",4.66%
2024,24-May,USD,75513.99,"134,579","4,317,858",3.12%,0.56,705868.8,"4,453.17",3.30%
2024,24-Jun,USD,62121.33,"123,211","3,969,074",3.10%,0.5,586437.94,"3,637.90",2.95%
2024,24-Jul,USD,74242.79,"133,124","4,519,389",2.95%,0.56,648114.64,"3,703.76",2.78%
2024,24-Aug,USD,68622.71,"131,745","4,644,514",2.84%,0.52,581089.71,"3,675.55",2.78%
2024,24-Sep,USD,61914.52,"133,701","4,078,345",3.28%,0.46,563082.73,"3,480.16",2.59%
2024,24-Oct,USD,80202.93,"155,917","5,168,023",3.02%,0.51,680107.48,"4,219.44",2.67%
2024,24-Nov,USD,74655.3,"150,194","4,045,549",3.71%,0.5,718033.91,"4,882.56",3.24%
2024,24-Dec,USD,79955.4,"152,542","4,681,506",3.26%,0.52,653737.44,"4,550.20",2.90%
2025,25-Jan,USD,73595.93,"154,346","4,354,768",3.54%,0.48,92540.58,"4,202.26",2.64%
