Date,Channel,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
3/10/2024,Direct,20379,9488,0.46557731,69.17017518,10.58997007,215813,220,0.010648216,34345.03
8/26/2022,Unassigned,16968,0,0,108.2008487,9.119872702,154746,269,0.015676568,41914.06
8/24/2022,Unassigned,16658,0,0,117.8843799,9.453535839,157477,271,0.016148397,41627.16
3/9/2024,Direct,16572,6849,0.413287473,66.20522568,10.12702148,167825,163,0.009775525,25693.29
8/25/2022,Unassigned,16484,0,0,114.4529847,9.447524873,155733,260,0.015712206,43352.59
8/22/2022,Unassigned,16458,0,0,114.2784664,9.409588042,154863,238,0.01427877,38161.8
8/23/2022,Unassigned,16003,0,0,120.6570643,9.812972568,157037,239,0.014747235,37627.56
7/12/2024,Direct,15063,10090,0.669853283,44.30392352,9.690300737,145965,120,0.007900153,20177.51
7/16/2024,Direct,14044,9072,0.645969809,32.09406152,8.464540017,118876,79,0.005553973,13142.68
2/3/2023,Direct,13643,3430,0.25141098,32.77805468,4.958586821,67650,66,0.004837646,10440.39
7/17/2024,Direct,13413,8665,0.64601506,33.45552822,8.515768285,114222,73,0.005442481,12609.58
7/14/2024,Direct,13227,8262,0.624631436,29.97731912,8.271414531,109406,63,0.004762985,11353.1
11/25/2022,Organic Search,12995,8266,0.636090804,78.64709504,7.251327434,94231,244,0.018622547,43077.34
7/15/2024,Direct,12896,8292,0.642990074,32.72138648,8.657490695,111647,69,0.005350496,12007.86
8/13/2024,Direct,12861,7763,0.603607807,29.23015318,9.083586035,116824,59,0.004587513,16973.5
7/23/2024,Direct,12847,7641,0.594769207,34.60878026,8.005915778,102852,69,0.005370904,13534.01
12/9/2022,Direct,12632,3168,0.25079164,28.470076,4.789027866,60495,65,0.005066498,8386.55
3/14/2023,Organic Search,12543,7803,0.622099976,63.91333812,6.199154907,77756,74,0.005899705,11770.43
7/9/2024,Direct,12517,7191,0.574498682,26.63449708,7.490293201,93756,54,0.004234241,16279.56
7/24/2024,Direct,12426,7540,0.60679221,30.98680187,8.133188476,101063,56,0.004426203,9555.99
7/26/2024,Direct,12426,7385,0.594318365,25.88685015,7.430951231,92337,52,0.004023821,8762.51
7/29/2024,Direct,12383,7501,0.605749818,30.54243721,8.109262699,100417,60,0.004845352,11165.77
6/26/2024,Direct,12382,7403,0.597884025,26.65853659,7.614521079,94283,60,0.004845744,9634.68
3/2/2023,Organic Search,12361,7879,0.637407977,68.97475932,6.367041501,78703,76,0.00614837,11982.57
8/7/2024,Direct,12351,7280,0.589425957,30.89296413,9.422880738,116382,66,0.005262732,12064.87
7/31/2024,Direct,12348,7567,0.612811791,30.18545513,8.505506965,105026,58,0.004616132,11508.94
2/16/2023,Organic Search,12250,7731,0.631102041,66.19828571,6.250857143,76573,78,0.006367347,12310.49
7/22/2024,Direct,12213,7245,0.593220339,31.53131909,8.117989028,99145,84,0.006877917,14863.29
7/13/2024,Direct,12206,7737,0.633868589,27.65017205,8.54710798,104326,75,0.006144519,12326.79
7/10/2024,Direct,12194,7044,0.577661145,26.98433656,7.438330326,90703,56,0.004510415,10664.82
2/23/2023,Organic Search,12187,7846,0.643800771,68.19036678,6.410027078,78119,93,0.007631082,11597.15
3/3/2023,Organic Search,12122,7683,0.633806303,71.08958918,6.479953803,78550,69,0.00569213,9716.45
7/3/2024,Direct,12101,7004,0.578795141,27.33402198,7.877448145,95325,79,0.005784646,14475.14
3/7/2023,Organic Search,12093,7523,0.622095427,66.86330935,6.22293889,75254,69,0.00570578,10058.21
7/25/2024,Direct,12090,7296,0.603473945,28.75293631,7.920347395,95757,78,0.006451613,22070.8
8/5/2024,Direct,12038,7250,0.602259512,28.25677023,8.855873069,106607,65,0.005316498,11188.91
4/3/2023,Organic Search,12033,7472,0.620959029,62.13812017,6.111028006,73534,67,0.005568021,11060.09
3/6/2023,Organic Search,12031,7570,0.62920788,65.55273876,6.283850054,75601,71,0.005901421,10713.82
8/6/2024,Direct,12030,7394,0.614630091,29.80673317,9.35120532,112495,59,0.00482128,12561.68
7/30/2024,Direct,12025,7319,0.608648649,31.17779626,8.283160083,99605,49,0.003991684,11701.79
7/1/2024,Direct,12000,7270,0.605833333,28.98841667,8.004916667,96059,70,0.005833333,11762.76
7/2/2024,Direct,11999,7170,0.597549796,27.68989082,7.755646304,93060,57,0.004667056,10236.97
8/1/2024,Direct,11998,7230,0.602600433,29.88131355,8.24745791,98953,80,0.006501084,13674.92
3/1/2023,Organic Search,11963,7526,0.629106411,66.26456574,6.284961966,75187,72,0.006018557,11218.21
12/12/2022,Organic Search,11959,6815,0.569863701,56.17100092,5.949661343,71152,77,0.006438665,9793.6
3/27/2024,Direct,11938,2577,0.215865304,36.28044899,7.28966326,87024,156,0.006617524,21550.34
8/12/2024,Direct,11933,7069,0.592390849,27.49727646,9.250565658,110387,66,0.005363278,21135.04
7/18/2024,Direct,11918,7514,0.630474912,33.54405102,8.493119651,101221,83,0.006964256,14665.57
6/19/2024,Direct,11898,7508,0.631030425,36.04740292,8.743906539,104035,82,0.006807867,11287.35
2/28/2023,Organic Search,11894,7772,0.653438709,65.8009921,6.334286195,75340,60,0.00504456,7107.47
7/19/2024,Direct,11878,7139,0.601027109,29.64118538,8.052786664,95651,66,0.005556491,15149.72
2/7/2023,Organic Search,11874,7482,0.63011622,71.7968671,6.133148055,72825,68,0.00564258,11753.37
8/4/2024,Direct,11864,7079,0.596679029,29.77090357,7.767700607,92156,56,0.004720162,8995.36
6/27/2024,Direct,11797,6985,0.592099686,29.40264474,7.930321268,93554,68,0.00567941,11889.53
6/21/2024,Direct,11796,6895,0.584520176,27.08418108,7.69065785,90719,63,0.005340793,9891.34
7/27/2024,Direct,11790,6901,0.585326548,24.71501272,7.481849025,88211,49,0.004156064,7859.63
6/18/2024,Direct,11775,7183,0.610021231,36.49927813,8.78955414,103497,75,0.006199575,13679.22
3/8/2023,Organic Search,11772,7352,0.62453279,63.45039076,6.07611281,71528,64,0.005436629,10408.87
3/29/2023,Organic Search,11760,7381,0.627636054,65.19030612,6.167687075,72532,83,0.007057823,12470.62
3/25/2024,Direct,11742,2540,0.216317493,34.54266735,7.257537046,85218,143,0.006131834,22743.51
